title,content,status,posttype,thumbnail,proposedtype,sources,coords,proposeddate,,,,
Patricia Creek,Proposed 1.3 mw Hydroelectric power,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.4391|-125.2054,,,,,
Patterson Creek,Proposed 0.4 mw Hydropower Project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.22308333|-121.6708611,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,55.823929|-122.157318,,,,,
Penask Windpower Generation Plant,15MW wind power project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,49.9208388|-120.108902777,,,,,
Pierce Creek,"0.766MW
Hydro Power Project",Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.0749|-121.6245,,,,,
Prince Rupert LNG,Natural gas liquefaction and marine loading/shipping - export capacity est.= 10 mmtpa,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.216|-130.3115,,,,,
Quinsam Coal,Underground coal mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,49.94724|-125.429535,,,,,
Red Willow Wind Project,Red Willow Wind Limited Partnership is proposing to construct and operate a 200 megawatt wind energy facility in the Peace River region in BC. The Project is located southeast of the District of Tumbler Ridge and within the traditional territory of Treaty 8 First Nations.,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,54.788361|-120.335679,,,,,
Rocky Creek Wind Power Project,500MW Wind power project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,55.244725|-121.732722,,,,,
Ruddock Creek Mine Project,"Underground zinc-lead mine with proposed annual production rate of 1,050,000 tonnes per year projected over 8 year life. Includes onsite process facilities, access roads, mill, tailings storage facility and camp facilities.",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,50.09153|-114.71919,,,,,
Sakwi,Proposed 5.5 mw hydropower project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.3566|-121.9081,,,,,
